FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150111;1300;8;;;
150111;1400;18;;;
150111;1500;6;;;
150111;1600;12;;;
150111;1700;9;;;
150111;1800;8;;;
150111;1900;21;;;
150111;2000;24;;;
150111;2100;24;;;
150111;2200;18;;;
150111;2300;22;;;
150112;0000;7;;;
150112;0100;36;;;
150112;0200;4;;;
150112;0300;4;;;
150112;0400;5;;;
150112;0500;6;;;
150112;0600;32;;;
150112;0700;11;;;
150112;0800;6;;;
150112;0900;5;;;
150112;1000;6;;;
150112;1100;6;;;
150112;1200;6;;;
150112;1300;12;;;
150112;1400;6;;;
150112;1500;4;;;
150112;1600;4;;;
150112;1700;8;;;
150112;1800;8;;;
150112;1900;16;;;
150112;2000;15;;;
150112;2100;14;;;
150112;2200;26;;;
150112;2300;18;;;
150113;0000;11;;;
150113;0100;12;;;
150113;0200;37;;;
150113;0300;16;;;
150113;0400;7;;;
150113;0500;4;;;
150113;0600;21;;;
150113;0700;13;;;
150113;0800;8;;;
150113;0900;6;;;
150113;1000;4;;;
150113;1100;4;;;
150113;1200;4;;;
150113;1300;4;;;
150113;1400;4;;;
150113;1500;4;;;
150113;1600;4;;;
150113;1700;4;;;
150113;1800;4;;;
150113;1900;4;;;
150113;2000;14;;;
150113;2100;17;;;
150113;2200;24;;;
150113;2300;15;;;
150114;0000;29;;;
150114;0100;30;;;
150114;0200;57;;;
150114;0300;31;;;
150114;0400;18;;;
150114;0500;14;;;
150114;0600;10;;;
150114;0700;10;;;
150114;0800;8;;;
150114;0900;7;;;
150114;1000;4;;;
150114;1100;4;;;
150114;1200;4;;;
150114;1300;4;;;
150114;1400;4;;;
150114;1500;4;;;
150114;1600;4;;;
150114;1700;4;;;
150114;1800;4;;;
150114;1900;4;;;
150114;2000;14;;;
150114;2100;10;;;
150114;2200;14;;;
150114;2300;12;;;
150115;0000;6;;;
150115;0100;4;;;
150115;0200;5;;;
150115;0300;6;;;
150115;0400;6;;;
150115;0500;7;;;
150115;0600;9;;;
150115;0700;9;;;
150115;0800;6;;;
150115;0900;4;;;
150115;1000;4;;;
150115;1100;4;;;
150115;1200;4;;;
150115;1300;4;;;
150115;1400;4;;;
150115;1500;4;;;
150115;1600;4;;;
150115;1700;7;;;
150115;1800;4;;;
150115;1900;4;;;
150115;2000;4;;;
150115;2100;4;;;
150115;2200;4;;;
150115;2300;4;;;
150116;0000;4;;;
150116;0100;4;;;
150116;0200;4;;;
150116;0300;4;;;
150116;0400;4;;;
150116;0500;4;;;
150116;0600;9;;;
150116;0700;8;;;
150116;0800;6;;;
150116;0900;4;;;
150116;1000;6;;;
150116;1100;4;;;
150116;1200;4;;;
150116;1300;4;;;
150116;1400;4;;;
150116;1500;4;;;
150116;1600;4;;;
150116;1700;4;;;
150116;1800;4;;;
150116;1900;6;;;
150116;2000;8;;;
150116;2100;14;;;
150116;2200;23;;;
150116;2300;12;;;
150117;0000;6;;;
150117;0100;4;;;
150117;0200;14;;;
150117;0300;5;;;
150117;0400;4;;;
150117;0500;4;;;
150117;0600;6;;;
150117;0700;10;;;
150117;0800;10;;;
150117;0900;8;;;
150117;1000;7;;;
150117;1100;6;;;
150117;1200;4;;;
150117;1300;4;;;
150117;1400;4;;;
150117;1500;4;;;
150117;1600;4;;;
150117;1700;5;;;
150117;1800;4;;;
150117;1900;4;;;
150117;2000;4;;;
150117;2100;4;;;
150117;2200;4;;;
150117;2300;4;;;
150118;0000;5;;;
150118;0100;20;;;
150118;0200;4;;;
150118;0300;4;;;
150118;0400;4;;;
150118;0500;4;;;
150118;0600;4;;;
150118;0700;4;;;
150118;0800;5;;;
150118;0900;9;;;
150118;1000;8;;;
150118;1100;4;;;
150118;1200;4;;;
150118;1300;4;;;
150118;1400;4;;;
150118;1500;6;;;
150118;1600;11;;;
150118;1700;24;;;
150118;1800;23;;;
150118;1900;33;;;
150118;2000;65;;;
150118;2100;64;;;
150118;2200;56;;;
150118;2300;17;;;
150119;0000;18;;;
150119;0100;16;;;
150119;0200;10;;;
150119;0300;8;;;
150119;0400;10;;;
150119;0500;10;;;
150119;0600;12;;;
150119;0700;16;;;
150119;0800;6;;;
150119;0900;13;;;
150119;1000;8;;;
150119;1100;10;;;
150119;1200;6;;;
150119;1300;4;;;
150119;1400;4;;;
150119;1500;4;;;
150119;1600;4;;;
150119;1700;4;;;
150119;1800;5;;;
150119;1900;4;;;
150119;2000;5;;;
150119;2100;14;;;
150119;2200;4;;;
150119;2300;7;;;
150120;0000;6;;;
150120;0100;4;;;
150120;0200;4;;;
150120;0300;4;;;
150120;0400;4;;;
150120;0500;4;;;
150120;0600;10;;;
150120;0700;6;;;
150120;0800;4;;;
150120;0900;4;;;
150120;1000;4;;;
150120;1100;;;4;
150120;1200;;;;
150120;1300;4;;;
150120;1400;4;;;
150120;1500;4;;;
150120;1600;4;;;
150120;1700;4;;;
150120;1800;4;;;
150120;1900;4;;;
150120;2000;10;;;
150120;2100;9;;;
150120;2200;8;;;
150120;2300;5;;;
150121;0000;7;;;
150121;0100;8;;;
150121;0200;4;;;
150121;0300;4;;;
150121;0400;4;;;
150121;0500;12;;;
150121;0600;24;;;
150121;0700;18;;;
150121;0800;13;;;
150121;0900;17;;;
150121;1000;7;;;
150121;1100;6;;;
150121;1200;4;;;
150121;1300;4;;;
150121;1400;4;;;
150121;1500;6;;;
150121;1600;4;;;
150121;1700;4;;;
150121;1800;4;;;
150121;1900;5;;;
150121;2000;10;;;
150121;2100;15;;;
150121;2200;11;;;
150121;2300;7;;;
150122;0000;4;;;
150122;0100;4;;;
150122;0200;4;;;
150122;0300;4;;;
150122;0400;5;;;
150122;0500;6;;;
150122;0600;11;;;
150122;0700;14;;;
150122;0800;8;;;
150122;0900;4;;;
150122;1000;4;;;
150122;1100;4;;;
150122;1200;4;;;
150122;1300;4;;;
150122;1400;4;;;
150122;1500;4;;;
150122;1600;4;;;
150122;1700;4;;;
150122;1800;4;;;
150122;1900;5;;;
150122;2000;5;;;
150122;2100;4;;;
150122;2200;6;;;
150122;2300;7;;;
150123;0000;17;;;
150123;0100;13;;;
150123;0200;7;;;
150123;0300;8;;;
150123;0400;6;;;
150123;0500;4;;;
150123;0600;6;;;
150123;0700;10;;;
150123;0800;6;;;
150123;0900;4;;;
150123;1000;4;;;
150123;1100;4;;;
150123;1200;4;;;
150123;1300;4;;;
150123;1400;4;;;
150123;1500;4;;;
150123;1600;4;;;
150123;1700;4;;;
150123;1800;6;;;
150123;1900;4;;;
150123;2000;6;;;
150123;2100;8;;;
150123;2200;4;;;
150123;2300;4;;;
150124;0000;5;;;
150124;0100;4;;;
150124;0200;4;;;
150124;0300;4;;;
150124;0400;4;;;
150124;0500;4;;;
150124;0600;4;;;
150124;0700;4;;;
150124;0800;5;;;
150124;0900;4;;;
150124;1000;4;;;
150124;1100;4;;;
150124;1200;4;;;
150124;1300;4;;;
150124;1400;4;;;
150124;1500;4;;;
150124;1600;4;;;
150124;1700;5;;;
150124;1800;4;;;
150124;1900;5;;;
150124;2000;8;;;
150124;2100;8;;;
150124;2200;7;;;
150124;2300;4;;;
150125;0000;4;;;
150125;0100;4;;;
150125;0200;4;;;
150125;0300;4;;;
150125;0400;4;;;
150125;0500;6;;;
150125;0600;5;;;
150125;0700;4;;;
150125;0800;4;;;
150125;0900;4;;;
150125;1000;4;;;
150125;1100;5;;;
150125;1200;4;;;
150125;1300;4;;;
150125;1400;4;;;
150125;1500;4;;;
150125;1600;4;;;
150125;1700;4;;;
150125;1800;4;;;
150125;1900;5;;;
150125;2000;4;;;
150125;2100;4;;;
150125;2200;4;;;
150125;2300;4;;;
150126;0000;4;;;
150126;0100;4;;;
150126;0200;4;;;
150126;0300;4;;;
150126;0400;4;;;
150126;0500;4;;;
150126;0600;4;;;
150126;0700;5;;;
150126;0800;4;;;
150126;0900;4;;;
150126;1000;4;;;
150126;1100;4;;;
150126;1200;4;;;
150126;1300;4;;;
150126;1400;4;;;
150126;1500;;;4,91199;
150126;1600;4;;;
150126;1700;11;;;
150126;1800;8;;;
150126;1900;18;;;
150126;2000;27;;;
150126;2100;20;;;
150126;2200;15;;;
150126;2300;14;;;
150127;0000;6;;;
150127;0100;11;;;
150127;0200;11;;;
150127;0300;8;;;
150127;0400;4;;;
150127;0500;4;;;
150127;0600;8;;;
150127;0700;9;;;
150127;0800;11;;;
150127;0900;8;;;
150127;1000;5;;;
150127;1100;4;;;
150127;1200;4;;;
150127;1300;6;;;
150127;1400;5;;;
150127;1500;4;;;
150127;1600;4;;;
150127;1700;7;;;
150127;1800;8;;;
150127;1900;7;;;
150127;2000;12;;;
150127;2100;8;;;
150127;2200;8;;;
150127;2300;6;;;
150128;0000;8;;;
150128;0100;5;;;
150128;0200;10;;;
150128;0300;21;;;
150128;0400;51;;;
150128;0500;28;;;
150128;0600;10;;;
150128;0700;10;;;
150128;0800;6;;;
150128;0900;4;;;
150128;1000;6;;;
150128;1100;4;;;
150128;1200;4;;;
150128;1300;4;;;
150128;1400;4;;;
150128;1500;4;;;
150128;1600;4;;;
150128;1700;4;;;
150128;1800;4;;;
150128;1900;4;;;
150128;2000;12;;;
150128;2100;12;;;
150128;2200;7;;;
150128;2300;4;;;
150129;0000;5;;;
150129;0100;8;;;
150129;0200;12;;;
150129;0300;9;;;
150129;0400;22;;;
150129;0500;4;;;
150129;0600;23;;;
150129;0700;12;;;
150129;0800;8;;;
150129;0900;5;;;
150129;1000;4;;;
150129;1100;4;;;
150129;1200;4;;;
150129;1300;4;;;
150129;1400;4;;;
150129;1500;4;;;
150129;1600;4;;;
150129;1700;4;;;
150129;1800;4;;;
150129;1900;4;;;
150129;2000;6;;;
150129;2100;8;;;
150129;2200;11;;;
150129;2300;10;;;
150130;0000;5;;;
150130;0100;4;;;
150130;0200;4;;;
150130;0300;5;;;
150130;0400;4;;;
150130;0500;4;;;
150130;0600;4;;;
150130;0700;8;;;
150130;0800;4;;;
150130;0900;4;;;
150130;1000;6;;;
150130;1100;6;;;
150130;1200;4;;;
150130;1300;4;;;
150130;1400;4;;;
150130;1500;4;;;
150130;1600;4;;;
150130;1700;4;;;
150130;1800;4;;;
150130;1900;4;;;
150130;2000;4;;;
150130;2100;12;;;
150130;2200;7;;;
150130;2300;5;;;
150131;0000;4;;;
150131;0100;4;;;
150131;0200;4;;;
150131;0300;4;;;
150131;0400;4;;;
150131;0500;4;;;
150131;0600;4;;;
150131;0700;4;;;
150131;0800;4;;;
150131;0900;5;;;
150131;1000;4;;;
150131;1100;4;;;
150131;1200;4;;;
150131;1300;4;;;
150131;1400;4;;;
150131;1500;4;;;
150131;1600;5;;;
150131;1700;6;;;
150131;1800;7;;;
150131;1900;10;;;
150131;2000;7;;;
150131;2100;5;;;
150131;2200;5;;;
150131;2300;5;;;
150201;0000;4;;;
150201;0100;4;;;
150201;0200;7;;;
150201;0300;4;;;
150201;0400;4;;;
150201;0500;4;;;
150201;0600;4;;;
150201;0700;4;;;
150201;0800;4;;;
150201;0900;4;;;
150201;1000;4;;;
150201;1100;4;;;
150201;1200;4;;;
150201;1300;4;;;
150201;1400;4;;;
150201;1500;4;;;
150201;1600;4;;;
150201;1700;6;;;
150201;1800;4;;;
150201;1900;8;;;
150201;2000;17;;;
150201;2100;11;;;
150201;2200;10;;;
150201;2300;8;;;
150202;0000;6;;;
150202;0100;4;;;
150202;0200;4;;;
150202;0300;4;;;
150202;0400;4;;;
150202;0500;4;;;
150202;0600;21;;;
150202;0700;22;;;
150202;0800;13;;;
150202;0900;7;;;
150202;1000;5;;;
150202;1100;6;;;
150202;1200;4;;;
150202;1300;4;;;
150202;1400;4;;;
150202;1500;4;;;
150202;1600;4;;;
150202;1700;4;;;
150202;1800;4;;;
150202;1900;4;;;
150202;2000;7;;;
150202;2100;9;;;
150202;2200;6;;;
150202;2300;5;;;
150203;0000;7;;;
150203;0100;5;;;
150203;0200;5;;;
150203;0300;5;;;
150203;0400;4;;;
150203;0500;7;;;
150203;0600;26;;;
150203;0700;16;;;
150203;0800;4;;;
150203;0900;4;;;
150203;1000;4;;;
150203;1100;4;;;
150203;1200;4;;;
150203;1300;4;;;
150203;1400;4;;;
150203;1500;4;;;
150203;1600;4;;;
150203;1700;5;;;
150203;1800;5;;;
150203;1900;6;;;
150203;2000;7;;;
150203;2100;11;;;
150203;2200;12;;;
150203;2300;11;;;
150204;0000;7;;;
150204;0100;4;;;
150204;0200;7;;;
150204;0300;5;;;
150204;0400;58;;;
150204;0500;7;;;
150204;0600;9;;;
150204;0700;8;;;
150204;0800;14;;;
150204;0900;10;;;
150204;1000;5;;;
150204;1100;4;;;
150204;1200;4;;;
150204;1300;4;;;
150204;1400;4;;;
150204;1500;4;;;
150204;1600;4;;;
150204;1700;4;;;
150204;1800;7;;;
150204;1900;5;;;
150204;2000;7;;;
150204;2100;11;;;
150204;2200;12;;;
150204;2300;9;;;
150205;0000;6;;;
150205;0100;5;;;
150205;0200;4;;;
150205;0300;4;;;
150205;0400;4;;;
150205;0500;4;;;
150205;0600;6;;;
150205;0700;11;;;
150205;0800;11;;;
150205;0900;6;;;
150205;1000;4;;;
150205;1100;4;;;
150205;1200;4;;;
150205;1300;4;;;
150205;1400;4;;;
150205;1500;5;;;
150205;1600;4;;;
150205;1700;4;;;
150205;1800;4;;;
150205;1900;4;;;
150205;2000;6;;;
150205;2100;6;;;
150205;2200;4;;;
150205;2300;4;;;
150206;0000;4;;;
150206;0100;4;;;
150206;0200;4;;;
150206;0300;6;;;
150206;0400;4;;;
150206;0500;4;;;
150206;0600;5;;;
150206;0700;4;;;
150206;0800;4;;;
150206;0900;4;;;
150206;1000;4;;;
150206;1100;4;;;
150206;1200;5;;;
150206;1300;4;;;
150206;1400;4;;;
150206;1500;7;;;
150206;1600;10;;;
150206;1700;15;;;
150206;1800;24;;;
150206;1900;24;;;
150206;2000;24;;;
150206;2100;21;;;
150206;2200;22;;;
150206;2300;31;;;
150207;0000;18;;;
150207;0100;5;;;
150207;0200;4;;;
150207;0300;4;;;
150207;0400;9;;;
150207;0500;19;;;
150207;0600;20;;;
150207;0700;8;;;
150207;0800;9;;;
150207;0900;6;;;
150207;1000;4;;;
150207;1100;4;;;
150207;1200;4;;;
150207;1300;4;;;
150207;1400;4;;;
150207;1500;4;;;
150207;1600;4;;;
150207;1700;6;;;
150207;1800;6;;;
150207;1900;5;;;
150207;2000;6;;;
150207;2100;7;;;
150207;2200;6;;;
150207;2300;5;;;
150208;0000;4;;;
150208;0100;4;;;
150208;0200;4;;;
150208;0300;4;;;
150208;0400;4;;;
150208;0500;4;;;
150208;0600;4;;;
150208;0700;4;;;
150208;0800;12;;;
150208;0900;8;;;
150208;1000;8;;;
150208;1100;9;;;
150208;1200;6;;;
150208;1300;4;;;
150208;1400;5;;;
150208;1500;5;;;
150208;1600;4;;;
150208;1700;5;;;
150208;1800;4;;;
150208;1900;11;;;
150208;2000;17;;;
150208;2100;15;;;
150208;2200;7;;;
150208;2300;4;;;
150209;0000;4;;;
150209;0100;4;;;
150209;0200;4;;;
150209;0300;4;;;
150209;0400;4;;;
150209;0500;7;;;
150209;0600;10;;;
150209;0700;15;;;
150209;0800;6;;;
150209;0900;4;;;
150209;1000;4;;;
150209;1100;4;;;
150209;1200;4;;;
150209;1300;4;;;
150209;1400;4;;;
150209;1500;5;;;
150209;1600;8;;;
150209;1700;11;;;
150209;1800;10;;;
150209;1900;11;;;
150209;2000;8;;;
150209;2100;8;;;
150209;2200;5;;;
150209;2300;4;;;
150210;0000;4;;;
150210;0100;4;;;
150210;0200;4;;;
150210;0300;4;;;
150210;0400;4;;;
150210;0500;4;;;
150210;0600;4;;;
150210;0700;6;;;
150210;0800;6;;;
150210;0900;6;;;
150210;1000;7;;;
150210;1100;6;;;
150210;1200;4;;;
150210;1300;4;;;
150210;1400;4;;;
150210;1500;4;;;
150210;1600;4;;;
150210;1700;7;;;
150210;1800;6;;;
150210;1900;7;;;
150210;2000;10;;;
150210;2100;6;;;
150210;2200;4;;;
150210;2300;4;;;
150211;0000;4;;;
150211;0100;4;;;
150211;0200;4;;;
150211;0300;4;;;
150211;0400;4;;;
150211;0500;4;;;
150211;0600;4;;;
150211;0700;4;;;
150211;0800;4;;;
150211;0900;8;;;
150211;1000;9;;;
150211;1100;5;;;
150211;1200;4;;;
150211;1300;4;;;
150211;1400;13;;;
150211;1500;9;;;
150211;1600;15;;;
150211;1700;14;;;
150211;1800;15;;;
150211;1900;18;;;
150211;2000;29;;;
150211;2100;21;;;
150211;2200;12;;;
150211;2300;10;;;
150212;0000;6;;;
150212;0100;4;;;
150212;0200;4;;;
150212;0300;4;;;
150212;0400;5;;;
150212;0500;10;;;
150212;0600;37;;;
150212;0700;17;;;
150212;0800;15;;;
150212;0900;8;;;
150212;1000;5;;;
150212;1100;4;;;
150212;1200;4;;;
150212;1300;4;;;
150212;1400;4;;;
150212;1500;4;;;
150212;1600;4;;;
150212;1700;4;;;
150212;1800;8;;;
150212;1900;8;;;
150212;2000;18;;;
150212;2100;35;;;
150212;2200;42;;;
150212;2300;28;;;
150213;0000;23;;;
150213;0100;29;;;
150213;0200;18;;;
150213;0300;20;;;
150213;0400;15;;;
150213;0500;21;;;
150213;0600;38;;;
150213;0700;13;;;
150213;0800;7;;;
150213;0900;9;;;
150213;1000;7;;;
150213;1100;4;;;
150213;1200;4;;;
150213;1300;4;;;
150213;1400;4;;;
150213;1500;4;;;
150213;1600;4;;;
150213;1700;4;;;
150213;1800;4;;;
150213;1900;4;;;
150213;2000;7;;;
150213;2100;19;;;
150213;2200;60;;;
150213;2300;14;;;
150214;0000;7;;;
150214;0100;10;;;
150214;0200;13;;;
150214;0300;7;;;
150214;0400;6;;;
150214;0500;5;;;
150214;0600;6;;;
150214;0700;12;;;
150214;0800;11;;;
150214;0900;8;;;
150214;1000;6;;;
150214;1100;4;;;
150214;1200;5;;;
150214;1300;4;;;
150214;1400;4;;;
150214;1500;4;;;
150214;1600;4;;;
150214;1700;4;;;
150214;1800;4;;;
150214;1900;6;;;
150214;2000;20;;;
150214;2100;26;;;
150214;2200;83;;;
150214;2300;13;;;
150215;0000;64;;;
150215;0100;29;;;
150215;0200;66;;;
150215;0300;20;;;
150215;0400;8;;;
150215;0500;12;;;
150215;0600;6;;;
150215;0700;9;;;
150215;0800;5;;;
150215;0900;4;;;
150215;1000;4;;;
150215;1100;4;;;
150215;1200;4;;;
150215;1300;4;;;
150215;1400;4;;;
150215;1500;4;;;
150215;1600;4;;;
150215;1700;4;;;
150215;1800;4;;;
150215;1900;4;;;
150215;2000;5;;;
150215;2100;8;;;
150215;2200;4;;;
150215;2300;4;;;
150216;0000;4;;;
150216;0100;4;;;
150216;0200;4;;;
150216;0300;4;;;
150216;0400;4;;;
150216;0500;4;;;
150216;0600;5;;;
150216;0700;8;;;
150216;0800;7;;;
150216;0900;4;;;
150216;1000;4;;;
150216;1100;4;;;
150216;1200;4;;;
150216;1300;4;;;
150216;1400;4;;;
150216;1500;4;;;
150216;1600;7;;;
150216;1700;5;;;
150216;1800;4;;;
150216;1900;9;;;
150216;2000;18;;;
150216;2100;23;;;
150216;2200;10;;;
150216;2300;24;;;
150217;0000;7;;;
150217;0100;7;;;
150217;0200;4;;;
150217;0300;6;;;
150217;0400;4;;;
150217;0500;4;;;
150217;0600;6;;;
150217;0700;20;;;
150217;0800;10;;;
150217;0900;6;;;
150217;1000;6;;;
150217;1100;6;;;
150217;1200;4;;;
150217;1300;5;;;
150217;1400;5;;;
150217;1500;4;;;
150217;1600;10;;;
150217;1700;20;;;
150217;1800;10;;;
150217;1900;18;;;
150217;2000;13;;;
150217;2100;42;;;
150217;2200;143;;;
150217;2300;16;;;
150218;0000;8;;;
150218;0100;5;;;
150218;0200;4;;;
150218;0300;8;;;
150218;0400;43;;;
150218;0500;44;;;
150218;0600;68;;;
150218;0700;39;;;
150218;0800;13;;;
150218;0900;8;;;
150218;1000;8;;;
150218;1100;6;;;
150218;1200;4;;;
150218;1300;6;;;
150218;1400;10;;;
150218;1500;8;;;
150218;1600;11;;;
150218;1700;15;;;
150218;1800;14;;;
150218;1900;17;;;
150218;2000;14;;;
150218;2100;19;;;
150218;2200;10;;;
150218;2300;10;;;
150219;0000;10;;;
150219;0100;10;;;
150219;0200;7;;;
150219;0300;12;;;
150219;0400;46;;;
150219;0500;4;;;
150219;0600;29;;;
150219;0700;22;;;
150219;0800;4;;;
150219;0900;10;;;
150219;1000;10;;;
150219;1100;6;;;
150219;1200;5;;;
150219;1300;7;;;
150219;1400;4;;;
150219;1500;4;;;
150219;1600;4;;;
150219;1700;4;;;
150219;1800;4;;;
150219;1900;4;;;
150219;2000;15;;;
150219;2100;13;;;
150219;2200;29;;;
150219;2300;12;;;
150220;0000;13;;;
150220;0100;29;;;
150220;0200;58;;;
150220;0300;18;;;
150220;0400;23;;;
150220;0500;4;;;
150220;0600;29;;;
150220;0700;17;;;
150220;0800;10;;;
150220;0900;6;;;
150220;1000;4;;;
150220;1100;4;;;
150220;1200;4;;;
150220;1300;4;;;
150220;1400;4;;;
150220;1500;4;;;
150220;1600;4;;;
150220;1700;4;;;
150220;1800;8;;;
150220;1900;16;;;
150220;2000;13;;;
150220;2100;21;;;
150220;2200;12;;;
150220;2300;31;;;
150221;0000;13;;;
150221;0100;23;;;
150221;0200;8;;;
150221;0300;6;;;
150221;0400;4;;;
150221;0500;4;;;
150221;0600;19;;;
150221;0700;11;;;
150221;0800;10;;;
150221;0900;7;;;
150221;1000;8;;;
150221;1100;6;;;
150221;1200;4;;;
150221;1300;6;;;
150221;1400;4;;;
150221;1500;4;;;
150221;1600;4;;;
150221;1700;4;;;
150221;1800;6;;;
150221;1900;8;;;
150221;2000;24;;;
150221;2100;83;;;
150221;2200;149;;;
150221;2300;59;;;
150222;0000;88;;;
150222;0100;99;;;
150222;0200;29;;;
150222;0300;55;;;
150222;0400;30;;;
150222;0500;30;;;
150222;0600;18;;;
150222;0700;17;;;
150222;0800;14;;;
150222;0900;6;;;
150222;1000;4;;;
150222;1100;4;;;
150222;1200;4;;;
150222;1300;4;;;
150222;1400;4;;;
150222;1500;4;;;
150222;1600;4;;;
